way,node
8915189,2512168931
8915189,65283131
8915192,590952157
8915192,733675092
8915192,733675093
8915192,590952159
8915192,733675098
8915192,733675100
8915192,3065963333
8915192,733675102
8915192,65283151
8915196,65283175
8915196,65283183
8915196,65283185
8915196,65283194
8915196,65283196
8915198,65283203
8915198,65283205
8915198,65283208
8915198,65283210
8915198,65283216
8915198,65283203
8915200,65283221
8915200,1350151936
8915200,1196897039
8915200,65283224
8915200,1350151867
8915200,65283226
8915200,1350151901
8915200,1196897045
8915200,1350151937
8915200,1196897048
8915200,1196897050
8915200,65283228
8915200,1196897052
8915200,1350151914
8915200,1196897055
8915200,65283230
8915200,1350151929
8915200,65283232
8915200,1350151920
8915200,1196897058
8915200,65283236
8915200,1350151872
8915200,1196897059
8915200,65283237
8915200,65283221
8915214,65283366
8915214,315071763
8915214,311779402
8915214,65283368
8915214,311779403
8915214,65283371
8915214,311779404
8915214,65283375
8915214,311779405
8915222,65283442
8915222,65283444
8915222,65283448
8915222,1769694174
8915222,65283450
8915222,1769694175
8915222,65283453
8915222,1769694181
8915222,65283454
8915222,1769694183
8915222,65283455
8915222,65283457
8915224,65283457
8915224,65283463
8915224,1769694187
8915224,65283465
8915224,1769694185
8915224,65283468
8915224,65283442
8915227,65283475
8915227,65283478
8915227,65283483
8915227,767808489
8915227,65283485
8915227,767808490
8915227,65283487
8915227,65283489
8915227,767808491
8915227,616937024
8915227,767808575
8915227,767808576
8915227,65283492
8915229,65283514
8915229,65283516
8915229,65283518
8915244,65283592
8915244,65283604
8915244,767803626
8915244,65283608
8915244,767803636
8915244,65283610
8915244,767803645
8915244,65283612
8915244,767806611
8915244,767806612
8915244,65283617
8915244,65283619
8915244,767806528
8915244,65283620
8915249,65283638
8915249,767806582
8915249,767806585
8915249,767806542
8915249,65283643
8915249,65283645
8915249,65283647
8915251,65283652
8915251,65283654
8915251,65283656
8915253,65283675
8915253,1840603109
8915253,1840603091
8915253,1840603056
8915253,65283676
