way,node
4006559,258131361
4006559,357138448
4006616,442373
4006616,2721076763
4006616,1912974824
4006616,2629096078
4006616,130048089
4006616,1354578884
4006616,130048090
4006616,2629096074
4006616,442352
4006616,2629096071
4006616,582824396
4006616,442351
4006616,130048059
4006616,2629096069
4006616,1912974823
4006616,2629096068
4006616,1912974822
4006616,2629096065
4006616,130048060
4006616,130048061
4006616,442350
4006616,130048062
4006616,130048063
4006616,130048064
4006616,2629096063
4006616,130048065
4006616,130048066
4006616,130048067
4006616,2629096060
4006616,130048069
4006616,2629096056
4006616,442349
4006651,442256
4006651,34817060
4006651,291594905
4006651,34817321
4006651,291594858
4006651,291593829
4006651,939657117
4006651,939656203
4006651,367893
4006651,291594450
4006651,291594431
4006651,291595878
4006651,291594194
4006651,176932548
4006651,21660045
4018031,27235582
4018031,1363278373
4018031,1988510909
4018031,21292451
4018032,21292461
4018032,1759306836
4018032,21292457
4018032,1759306834
4018032,21292462
4018032,1759306831
4018032,353192573
4018032,1363278528
4018032,1759306829
4018032,21292459
4018032,1759306828
4018032,21292455
4018032,1988510911
4018032,1759306830
4018032,21292460
4018032,1759306833
4018032,353192572
4018032,1759306835
4018032,21292461
4018033,353192572
4018033,353192571
4018033,268127165
4018033,319710527
4018034,664019752
4018034,664019723
4018034,319710083
4018034,2183516950
4018034,319711491
4018034,2183516920
4018034,21292453
4018034,2052621893
4018034,268146910
4018036,34843139
4018036,1938058389
4018036,25669363
4018036,1912519451
4018036,369678381
4018036,1912519452
4018036,21299470
4018036,25669362
4018036,16820916
4018037,368252
4018037,1212027401
4018037,2271678894
4018037,2712549955
4018037,25273482
4018038,21292431
4018038,683408110
4018038,398794
4018038,21292432
4018038,2712549977
4018038,21292433
4018041,361104
4018041,1821290230
4018041,2180084703
4018041,2180084701
4018041,398772
4018041,25273878
4018041,2388988908
4018041,25273877
4018041,2180084699
4018041,25273876
4018041,1757649346
4018041,1757512037
4018041,25273875
4018041,25273887
4018041,2180084698
4018041,2180084697
4018041,25207345
4018041,2388988922
4018041,398769
4018041,25273787
4018041,25273786
4018042,398774
4018042,2200327373
4018042,25273208
4018042,689143329
4018042,25273207
4018042,398800
4018042,2200326961
